year,d14c,sig_d14c
-5420,89.1,2.4
-5418,92.3,1.8
-5417,90.5,2.5
-5416,95.5,1.8
-5415,92.7,1.8
-5414,91.4,2.4
-5413,90.1,2.5
-5412,89.4,1.8
-5411,93.5,1.8
-5410,95.8,2.5
-5409,98.8,1.8
-5408,95.8,1.7
-5407,94.9,1.6
-5406,97.6,1.7
-5405,92,1.8
-5404,92.4,1.7
-5403,92,1.8
-5402,94.2,2.3
-5401,92.3,1.7
-5400,89.5,1.8
-5399,90.9,1.8
-5398,91.5,1.7
-5397,92.2,2.5
-5396,93.1,1.8
-5395,87.3,1.8
-5394,89.5,2.4
-5393,85,2.4
-5392,90,2.4
-5391,87.5,2.4
-5390,89.4,1.8
-5389,87.8,2.4
-5388,89.8,1.8
-5387,85.5,2.4
-5386,91,1.8
-5385,87.1,2.4
-5384,88.3,2.4
-5383,83.8,2.4
-5382,86.7,2.4
-5381,84.9,2.3
