year,d14c,sig_d14c
-426,-16,2.6
-422,-14.2,2.6
-418,-18.3,2.5
-414,-19.3,2.6
-413,-17.6,1.767766953
-412,-14.8,2.5
-411,-16.3,2.6
-410,-15,2.5
-409,-15,2.5
-408,-12.15,1.767766953
-407,-18.1,2.8
-406,-12.1,2.6
-405,-12.1,2.5
-404,-9.7,2.5
-403,-13.3,2.5
-402,-11.1,1.80346888
-401,-11.7,2.6
-400,-13.3,2.5
-399,-9.8,2.6
-398,-15.2,2.5
-397,-10.35,1.838477631
-396,-8.2,2.6
-395,-11.2,2.6
-394,-9.8,2.6
-390,-5.4,2.5
-386,-7.2,2.7
-382,-6.1,2.6
-375,-7.2,2.4
-373,-4.7,2.4
-371,-3.2,2.4
-367,0.1,2.5
-365,-2.4,2.4
-363,0.1,2.4
-361,1.6,2.4
-359,2.1,2.4
-357,-0.2,2.4
-355,-1.1,2.4
-353,0.5,2.4
-351,3.5,2.5
-349,4.1,2.5
-347,0.1,2.4
-345,0.8,2.5
-343,0.5,2.4
-341,2.9,2.4
-339,2.8,2.4
-337,0.9,2.4
-335,1.4,2.5
-333,1.1,1.697056275
-331,3.3,2.5
-329,0.2,2.4
-327,-1.2,2.4
-325,-0.2,2.4
