year,d14c,sig_d14c
973.0,-21.616812996153847,1.320577925
974.0,-19.224740376153846,1.327553124
975.0,-18.36672281615385,1.008531011
976.0,-17.171587626153848,1.392432692
977.0,-19.60010121615385,1.389531712
978.0,-19.16817243615385,1.003706983
979.0,-16.39502498615385,1.411849899
980.0,-17.47077369615385,1.391317645
981.0,-17.27348549615385,1.003339038
982.0,-17.033650506153847,1.396966495
983.0,-19.35003230615385,1.391402024
984.0,-19.053711016153848,1.015115426
985.0,-21.29680924615385,1.428955821
986.0,-22.14494901615385,1.445382944
987.0,-19.42942740615385,1.008820978
988.0,-19.831317206153848,1.415381944
989.0,-18.44152561990385,1.1840183133897082
990.0,-19.86152691837607,0.6959744131784011
991.0,-19.67425905923077,0.5532633926198764
992.0,-21.79100714,0.5403936025609036
993.0,-16.540971763846155,0.5160212085103107
994.0,-11.761450726923078,0.5336289921767938
995.0,-11.661468296153847,0.5589153465655479
996.0,-11.22049725923077,0.5604740967077454
997.0,-12.055214956153847,0.5734656712663943
998.0,-12.847978982307694,0.5746236212787277
999.0,-13.711145001153849,0.5911543345665405
1000.0,-13.696943691903847,0.6520598172973047
1001.0,-10.919829749903847,1.6877231980178602
1002.0,-13.556556919903848,1.5144639782900529
1003.0,-13.666823774487181,1.335572772657929
1004.0,-14.559591919903848,1.5284537383794503
1005.0,-13.824689074903848,1.4277787017449484
1006.0,-17.51803354615385,1.751726706
1007.0,-20.108713926153847,1.773646602
1008.0,-16.364847546153847,1.203624989
1009.0,-17.36559945615385,1.773616012
1010.0,-15.753971146153848,1.670660235
1011.0,-16.37788993615385,1.152185865
1012.0,-16.02390371615385,1.661684038
1013.0,-15.572133826153848,1.661951589
1014.0,-15.281145116153848,1.150875505
1015.0,-17.759075826153847,1.672749602
1016.0,-17.955576466153847,1.682012557
1017.0,-16.80347697615385,1.153786392
1018.0,-16.000539556153846,1.650066373
1019.0,-15.90398990615385,1.660630411
1020.0,-16.772292696153848,1.141335466
1021.0,-15.24210277615385,1.660456894
1022.0,-17.354988536153847,1.663275329
1023.0,-13.735340606153848,1.155698671
