year,d14c,sig_d14c
950,-21.43697227,2.021976953
951,-20.15707873,1.403805361
952,-21.37632737,2.141836303
953,-22.88983523,2.150759258
954,-21.34984758,1.429857603
955,-21.41709915,2.140396749
956,-19.1846126,2.120810734
957,-19.96354773,1.409162473
958,-17.93531491,2.137849577
959,-21.69737317,2.125311594
960,-20.5107993,1.418096152
961,-19.96461309,2.141620409
962,-21.42085355,2.106092085
963,-20.44667144,1.563157917
964,-22.24194366,2.114002807
965,-20.09113299,2.132378189
966,-22.34579411,1.556456483
967,-20.30725877,2.130302118
968,-22.1594192,2.150302311
969,-20.4013441,1.168865992
970,-21.28506258,1.321964568
971,-21.41015039,1.32931827
972,-22.32698527,0.982730584
973,-22.45390444,1.320577925
974,-20.06183182,1.327553124
975,-19.20381426,1.008531011
976,-18.00867907,1.392432692
977,-20.43719266,1.389531712
978,-20.00526388,1.003706983
979,-17.23211643,1.411849899
980,-18.30786514,1.391317645
981,-18.11057694,1.003339038
982,-17.87074195,1.396966495
983,-20.18712375,1.391402024
984,-19.89080246,1.015115426
985,-22.13390069,1.428955821
986,-22.98204046,1.445382944
987,-20.26651885,1.008820978
988,-20.66840865,1.415381944
989,-20.87517673,1.413363883
990,-20.45360608,0.794676719
991,-20.59536777,1.044540326
992,-20.67309282,0.936358116
993,-17.03263293,0.821378725
994,-13.29885945,0.942402949
995,-12.74908785,1.037494878
996,-12.30646437,0.881802138
997,-11.98779443,1.037654116
998,-11.17372677,1.032859979
999,-13.73502692,0.885368353
1000,-14.67683478,1.038893899
1001,-11.03178499,1.727321155
1002,-14.40273933,1.17911177
1003,-14.19513086,1.730228794
1004,-16.18880933,1.759171203
1005,-18.04150364,1.180765889
1006,-18.35512499,1.751726706
1007,-20.94580537,1.773646602
1008,-17.20193899,1.203624989
1009,-18.2026909,1.773616012
1010,-16.59106259,1.670660235
1011,-17.21498138,1.152185865
1012,-16.86099516,1.661684038
1013,-16.40922527,1.661951589
1014,-16.11823656,1.150875505
1015,-18.59616727,1.672749602
1016,-18.79266791,1.682012557
1017,-17.64056842,1.153786392
1018,-16.837631,1.650066373
1019,-16.74108135,1.660630411
1020,-17.60938414,1.141335466
1021,-16.07919422,1.660456894
1022,-18.19207998,1.663275329
1023,-14.57243205,1.155698671
1024,-11.9025704,1.657377739
1025,-12.4632189,1.663543994
1026,-14.59231622,1.143921715
1027,-12.97909982,1.662277967
1028,-12.5029129,1.669444095
1029,-13.39712215,1.154922521
1030,-10.68443814,1.669518195
1031,-14.43467419,1.621679232
1032,-10.28255662,1.619817028
1033,-11.55778331,1.616418002
1034,-9.590965496,1.62853784
1035,-11.0611229,1.618283633
1036,-8.022248966,1.612384467
1037,-11.06726079,1.622527401
1038,-11.73487401,1.627261351
1039,-11.26857256,1.616749447
1040,-12.35846255,1.60597339
1041,-10.12204476,1.615753413
1042,-13.24081008,1.607679695
1049,-8.994182992,1.121789124
1050,-7.506948835,1.566837584
1051,-8.561709263,1.575741014
1052,-10.59932971,1.121100176
1053,-4.73199234,1.626408003
1054,-3.704006967,1.61946841
1055,-2.901989196,1.13035737
1056,-4.906189484,1.612705901
1057,-8.005949161,1.731720998
1058,-8.550650393,1.122366177
1059,-6.004740458,1.769112864
1060,-8.991542812,1.732070073
1061,-6.933507863,1.123269732
1062,-8.612584938,1.761744254
1063,-7.509106869,1.74727693
1064,-7.538383361,1.122802299
1065,-9.960838403,1.745025383
1066,-8.872282811,1.734173248
1067,-5.530763722,1.134445553
1068,-7.854033949,1.733670939
1069,-8.394175639,1.1272862
1070,-9.771533668,1.732241659
1071,-7.481618313,1.730208237
1072,-8.272854736,1.128413029
1073,-10.31451817,1.74503703
1074,-12.35846172,1.742050291
1075,-9.173195764,1.120437614
1076,-9.553825393,1.753161681
1077,-8.49211041,1.748446853
1078,-10.51672025,1.121772336
1079,-9.196269879,1.776173468
1080,-13.27158037,1.728115838
1081,-14.42302151,1.126209709
1082,-13.02457785,1.749655972
1083,-13.98587812,1.74463359
1084,-13.78569739,1.119553156
1085,-14.68076461,1.713198866
1086,-14.19647138,1.754360794
1087,-15.56451894,1.113205091
1088,-15.7685739,1.747962124
1089,-14.75379878,1.722628921
1090,-15.43990466,1.12322735
1091,-15.06474949,1.731652266
1092,-16.30895095,1.738765671
1093,-17.35564465,1.103496408
1094,-14.1107802,1.741413683
1095,-13.63271935,1.805470084
1096,-13.10749808,1.208048637
1097,-12.57217633,1.813635876
1098,-15.17013878,1.829993416
1099,-15.07237168,1.180242149
1100,-13.45099188,1.809646182
1101,-16.93464627,1.817510897
1102,-15.63994747,1.195284798
1103,-15.1580114,1.802790927
1104,-15.54377898,1.799163384
1105,-16.1318291,1.206406764
1106,-19.82060663,1.78646166
1107,-17.52971856,1.797191187
1108,-17.04856928,1.211118164
1109,-17.22108472,1.802344849
1110,-18.25009526,1.802243715
1111,-18.654942,1.194568131
1112,-18.03875177,1.791447063
1113,-19.35391517,1.791218583
1114,-18.06522732,1.008810839
1115,-17.89182423,1.28557907
1116,-17.60346653,1.102859782
