year,d14c,sig_d14c
1290,-6.716544384,2.373296249
1289,-7.058159485,2.365881347
1288,-4.062414725,2.388690747
1287,-5.672972136,2.386442864
1286,-10.0379833,2.372521963
1285,-7.13105892,2.380070292
1284,-9.101086295,2.375998155
1283,-3.726973795,2.384617749
1282,-6.267135469,2.375324046
1281,-4.93782954,2.391565662
1280,-5.912896961,2.315405349
1279,-10.93096785,2.278754921
1278,-10.87882369,2.283669622
1270,-10.50578257,1.884644768
1271,-11.92724815,2.058560136
1272,-12.78316907,1.903033788
1273,-12.94805066,2.054440711
1274,-12.09319556,1.905186051
1275,-13.18119174,1.532261362
1276,-12.72381946,1.473232955
