year,d14c,sig_d14c
1510,8.569519168,2.259959087
1511,6.942194575,2.130961945
1512,9.958668718,2.263071833
1513,10.4652593,2.26420698
1514,9.965786182,2.263087782
1515,8.461740768,2.134177716
1516,9.218817442,2.261414006
1517,11.6122553,2.266777119
1519,6.469287573,2.631128475
1520,8.479508148,2.259757394
1521,10.99704032,2.642965
1522,9.114525395,2.638043699
1523,10.1235543,2.263441302
1524,10.00137425,2.263167526
1525,10.50798626,1.692393196
1526,12.40023532,2.26854279
1527,11.52197273,2.266574818
1528,12.53340888,2.142794467
1529,12.78910242,2.269414147
1530,11.53266547,2.266598777
1531,14.31032387,2.146554899
1532,14.50331819,1.699084556
1533,12.23617464,1.559927191
1534,11.23216179,1.693606041
1535,12.30631543,1.603953179
1536,11.42813431,1.693934255
1537,15.53204876,1.565006365
1538,12.38002832,1.695528482
1539,12.06857439,1.742339951
1540,10.18406422,1.600590569
1541,12.20170432,1.514688126
1542,9.939704268,1.600203391
1543,10.19474282,2.137845217
1544,8.690356443,2.260229854
1545,10.95668273,2.26530814
1546,8.823041996,2.511696855
1547,12.6011992,2.268993102
1548,12.10067028,2.267871538
1549,11.60038878,2.770472869
1550,9.674852568,1.409631939
1551,9.720308271,2.639627346
1552,13.24952267,2.648853476
1553,7.341995131,2.257208504
1554,9.228315651,2.26143529
1555,9.35751536,2.136073417
1556,9.109799608,2.512410804
1557,5.602090848,2.503677557
1558,8.488999399,2.259778662
1559,7.488703281,2.257537241
1560,3.112131174,2.49747823
1561,6.868900364,2.506831571
1562,5.870211184,2.253910594
1563,5.122729837,2.25223567
1564,5.501715559,2.628599032
1565,7.00844294,2.507178994
1566,8.140858054,1.597353202
1567,3.823932276,1.681198779
1568,4.389960248,2.500659679
1569,5.644612169,2.253405081
1570,6.524864909,2.505975015
1571,5.40135029,2.503177767
1572,6.2813901,2.254831946
1573,7.914749773,2.509435453
1574,4.036158209,2.249800927
1575,3.914714465,2.249528801
1576,1.795935918,2.244781134
1577,3.297110251,2.497938778
1578,5.175856432,2.252354714
1579,2.430276853,2.246202537
1580,3.557543664,2.248728468
1581,-0.304280784,2.240075059
1582,3.065019455,2.247624841
1583,4.067999371,2.124879371
1584,0.826963985,2.242609903
1585,3.700163978,2.498942273
1586,2.455002503,2.246257942
1587,1.336030793,2.243750598
1588,1.090283668,2.243199939
1589,3.714310745,2.249079745
1590,4.467823409,2.250768184
1591,3.721384203,2.249095595
1592,-0.389977602,2.613196872
1593,0.484992989,2.117296761
1594,2.483261136,2.246321262
1595,2.237232459,2.245769972
1596,-0.375888484,2.239914603
1597,-1.491700266,2.486015934
1598,0.502619833,2.241883127
1599,-0.987332993,2.238544505
1600,0.758801551,1.58565667
1601,-1.664063092,1.718698348
1602,-1.971196422,2.484822118
1603,-4.325479578,2.478960589
1604,-6.983300149,1.663098886
1605,-5.371471243,1.838600788
1606,-4.851923321,1.503130286
1607,-4.807121615,2.601649502
1608,-3.563958396,1.844029217
1609,-3.064150702,2.109785813
1610,-2.688251878,2.483036843
1611,-6.402359877,1.749233485
1612,-1.438923282,2.486147334
1613,-5.15768393,2.229199762
1614,-1.307570159,2.486474368
1615,-4.593213,1.667101791
1616,-5.394828158,2.22866838
1617,-4.152399083,2.479391512
1618,-1.542113965,2.237301375
1619,-0.294872202,2.240096141
1620,-0.97559157,1.719883595
1621,-2.277055885,2.235654549
1622,-2.584000631,1.670466809
1623,1.961857637,2.619345078
1624,-4.003855449,1.735832942
