year,rate
970.9166667,0.850740997
971,0.851013691
971.0833333,0.851383052
971.1666667,0.85186346
971.25,0.852469707
971.3333333,0.853216917
971.4166667,0.854120451
971.5,0.855195809
971.5833333,0.856458529
971.6666667,0.857924075
971.75,0.859607726
971.8333333,0.861524462
971.9166667,0.863688846
972,0.866114901
972.0833333,0.868815999
972.1666667,0.871804732
972.25,0.875092799
972.3333333,0.878690886
972.4166667,0.882608549
972.5,0.886854101
972.5833333,0.891434502
972.6666667,0.896355251
972.75,0.901620288
972.8333333,0.907231898
972.9166667,0.913190627
973,0.919495196
973.0833333,0.926142437
973.1666667,0.933127228
973.25,0.940442441
973.3333333,0.948078904
973.4166667,0.956025364
973.5,0.964268477
973.5833333,0.972792795
973.6666667,0.981580778
973.75,0.990612815
973.8333333,0.999867263
973.9166667,1.0093205
974,1.018946995
974.0833333,1.028719396
974.1666667,1.038608634
974.25,1.048584042
974.3333333,1.058613498
974.4166667,1.068663576
974.5,1.078699718
974.5833333,1.088686419
974.6666667,1.098587426
974.75,1.108365953
974.8333333,1.117984896
974.9166667,1.12740707
975,1.136595439
975.0833333,1.145513357
975.1666667,1.1541248
975.25,1.1623946
975.3333333,1.170288665
975.4166667,1.177774194
975.5,1.184819869
975.5833333,1.191396041
975.6666667,1.197474898
975.75,1.203030605
975.8333333,1.20803944
975.9166667,1.212479899
976,1.216332786
976.0833333,1.219581282
976.1666667,1.222210993
976.25,1.224209981
976.3333333,1.225568767
976.4166667,1.226280328
976.5,1.226340058
976.5833333,1.225745728
976.6666667,1.22449742
976.75,1.222597446
976.8333333,1.220050256
976.9166667,1.216862337
977,1.213042096
977.0833333,1.208599739
977.1666667,1.203547146
977.25,1.197897741
977.3333333,1.191666362
977.4166667,1.184869135
977.5,1.177523349
977.5833333,1.169647332
977.6666667,1.161260342
977.75,1.152382453
977.8333333,1.143034458
977.9166667,1.133237773
978,1.123014358
978.0833333,1.112386638
978.1666667,1.101377443
978.25,1.090009957
978.3333333,1.078307674
978.4166667,1.066294373
978.5,1.053994098
978.5833333,1.041431153
978.6666667,1.028630095
978.75,1.015615751
978.8333333,1.002413219
978.9166667,0.989047891
979,0.975545465
979.0833333,0.961931961
979.1666667,0.948233732
979.25,0.934477474
979.3333333,0.920690225
979.4166667,0.906899362
979.5,0.893132587
979.5833333,0.879417896
979.6666667,0.865783551
979.75,0.852258029
979.8333333,0.838869965
979.9166667,0.82564808
980,0.812621102
980.0833333,0.799817681
980.1666667,0.787266288
980.25,0.774995117
980.3333333,0.763031982
980.4166667,0.751404209
980.5,0.740138536
980.5833333,0.729261
980.6666667,0.718796841
980.75,0.708770394
980.8333333,0.699204992
980.9166667,0.690122866
981,0.681545054
981.0833333,0.673491304
981.1666667,0.665979992
981.25,0.659028038
981.3333333,0.652650832
981.4166667,0.646862159
981.5,0.64167414
981.5833333,0.637097173
981.6666667,0.633139882
981.75,0.62980907
981.8333333,0.627109681
981.9166667,0.625044769
982,0.623615469
982.0833333,0.622820974
982.1666667,0.622658521
982.25,0.623123379
982.3333333,0.624208847
982.4166667,0.62590625
982.5,0.628204951
982.5833333,0.631092362
982.6666667,0.634553966
982.75,0.638573345
982.8333333,0.643132211
982.9166667,0.648210458
983,0.653786206
983.0833333,0.659835868
983.1666667,0.66633422
983.25,0.673254482
983.3333333,0.680568412
983.4166667,0.688246409
983.5,0.696257624
983.5833333,0.704570093
983.6666667,0.713150865
983.75,0.72196616
983.8333333,0.730981522
983.9166667,0.740161987
984,0.749472267
984.0833333,0.758876932
984.1666667,0.768340602
984.25,0.777828143
984.3333333,0.787304871
984.4166667,0.796736745
984.5,0.806090575
984.5833333,0.815334212
984.6666667,0.824436749
984.75,0.833368708
984.8333333,0.842102224
984.9166667,0.850611219
985,0.858871566
985.0833333,0.866861242
985.1666667,0.87456046
985.25,0.881951789
985.3333333,0.889020252
985.4166667,0.895753397
985.5,0.902141356
985.5833333,0.908176871
985.6666667,0.9138553
985.75,0.919174601
985.8333333,0.924135294
985.9166667,0.9287404
986,0.932995357
986.0833333,0.936907926
986.1666667,0.94048807
986.25,0.943747821
986.3333333,0.946701134
986.4166667,0.949363725
986.5,0.951752904
986.5833333,0.953887392
986.6666667,0.955787137
986.75,0.957473126
986.8333333,0.958967193
986.9166667,0.960291823
987,0.96146997
987.0833333,0.962524862
987.1666667,0.963479833
987.25,0.964358142
987.3333333,0.965182822
987.4166667,0.965976524
987.5,0.966761388
987.5833333,0.967558912
987.6666667,0.968389851
987.75,0.969274116
987.8333333,0.970230695
987.9166667,0.971277583
988,0.972431725
988.0833333,0.973708969
988.1666667,0.975124032
988.25,0.976690467
988.3333333,0.978420645
988.4166667,0.980325737
988.5,0.982415702
988.5833333,0.98469928
988.6666667,0.987183986
988.75,0.989876108
988.8333333,0.992780708
988.9166667,0.995901626
989,0.999241479
989.0833333,1.002801677
989.1666667,1.006582425
989.25,1.010582737
989.3333333,1.014800453
989.4166667,1.019232253
989.5,1.023873679
989.5833333,1.02871916
989.6666667,1.033762035
989.75,1.038994588
989.8333333,1.044408084
989.9166667,1.049992801
990,1.05573808
990.0833333,1.061632365
990.1666667,1.067663258
990.25,1.07381757
990.3333333,1.080081374
990.4166667,1.086440075
990.5,1.092878459
990.5833333,1.099380769
990.6666667,1.105930769
990.75,1.112511811
990.8333333,1.119106911
990.9166667,1.125698819
991,1.132270095
991.0833333,1.138803183
991.1666667,1.145280479
991.25,1.15168441
991.3333333,1.157997498
991.4166667,1.164202428
991.5,1.170282111
991.5833333,1.176219743
991.6666667,1.181998863
991.75,1.187603404
991.8333333,1.193017749
991.9166667,1.198226769
992,1.203215877
992.0833333,1.207971067
992.1666667,1.212478953
992.25,1.216726814
992.3333333,1.220702623
992.4166667,1.224395091
992.5,1.227793696
992.5833333,1.23088872
992.6666667,1.23367128
992.75,1.236133357
992.8333333,1.238267832
992.9166667,1.240068506
993,1.241530134
993.0833333,1.242648443
993.1666667,1.243420159
993.25,1.243843021
993.3333333,1.243915796
993.4166667,1.243638293
993.5,1.243011366
993.5833333,1.242036914
993.6666667,1.240717882
993.75,1.239058245
993.8333333,1.237063001
993.9166667,1.234738148
994,1.23209066
994.0833333,1.229128457
994.1666667,1.225860373
994.25,1.222296113
994.3333333,1.218446216
994.4166667,1.214322006
994.5,1.209935539
994.5833333,1.205299554
994.6666667,1.200427415
994.75,1.19533305
994.8333333,1.190030891
994.9166667,1.18453581
995,1.178863055
995.0833333,1.173028185
995.1666667,1.167047005
995.25,1.160935503
995.3333333,1.154709789
995.4166667,1.148386041
995.5,1.141980441
995.5833333,1.135509128
995.6666667,1.128988148
995.75,1.1224334
995.8333333,1.115860594
995.9166667,1.109285198
996,1.102722397
996.0833333,1.096187045
996.1666667,1.089693613
996.25,1.083256142
996.3333333,1.076888194
996.4166667,1.070602793
996.5,1.064412375
996.5833333,1.058328726
996.6666667,1.05236292
996.75,1.046525262
996.8333333,1.040825217
996.9166667,1.03527135
997,1.029871256
997.0833333,1.024631499
997.1666667,1.019557553
