year,rate
1511.916667,1.159713191
1512,1.158102702
1512.083333,1.156444603
1512.166667,1.154740975
1512.25,1.152994103
1512.333333,1.151206475
1512.416667,1.149380781
1512.5,1.14751991
1512.583333,1.145626948
1512.666667,1.143705174
1512.75,1.141758055
1512.833333,1.139789244
1512.916667,1.137802569
1513,1.135802027
1513.083333,1.133791774
1513.166667,1.131776118
1513.25,1.129759498
1513.333333,1.127746478
1513.416667,1.125741727
1513.5,1.12375
1513.583333,1.12177612
1513.666667,1.119824954
1513.75,1.117901391
1513.833333,1.116010311
1513.916667,1.114156562
1514,1.112344925
1514.083333,1.110580086
1514.166667,1.108866599
1514.25,1.107208854
1514.333333,1.105611038
1514.416667,1.104077104
1514.5,1.102610734
1514.583333,1.1012153
1514.666667,1.099893837
1514.75,1.098649003
1514.833333,1.09748306
1514.916667,1.096397837
1515,1.095394716
1515.083333,1.094474613
1515.166667,1.093637968
1515.25,1.09288474
1515.333333,1.092214416
1515.416667,1.091626019
1515.5,1.091118135
1515.583333,1.090688939
1515.666667,1.090336231
1515.75,1.090057485
1515.833333,1.089849895
1515.916667,1.089710429
1516,1.089635888
1516.083333,1.089622963
1516.166667,1.089668294
1516.25,1.08976852
1516.333333,1.089920336
1516.416667,1.09012053
1516.5,1.090366028
1516.583333,1.090653919
1516.666667,1.090981481
1516.75,1.091346194
1516.833333,1.091745747
1516.916667,1.092178043
1517,1.092641186
1517.083333,1.09313348
1517.166667,1.093653406
1517.25,1.094199612
1517.333333,1.094770892
1517.416667,1.095366168
1517.5,1.095984475
1517.583333,1.096624943
1517.666667,1.097286789
1517.75,1.097969302
1517.833333,1.098671838
1517.916667,1.099393818
1518,1.100134731
1518.083333,1.100894134
1518.166667,1.101671663
1518.25,1.102467045
1518.333333,1.103280113
1518.416667,1.104110822
1518.5,1.104959271
1518.583333,1.105825725
1518.666667,1.106710635
1518.75,1.10761466
1518.833333,1.10853869
1518.916667,1.10948386
1519,1.110451569
1519.083333,1.111443488
