year,d14c,sig_d14c
-5413,87.55416667,2.03039405
-5412,90.9,1.419702629
-5411,90.23333333,1.426728971
-5410,97.1,1.510702559
-5409,96.78333333,1.507864568
-5408,98.76666667,1.614173335
-5407,95.26666667,1.442621071
-5406,96.7,1.614173335
-5405,92.83333333,1.459379625
-5404,91.53333333,1.637749133
-5403,92.36666667,1.470661227
-5402,92.23333333,1.672655905
-5401,92.1,1.439618005
-5400,89.16666667,1.580435945
-5399,91.54166667,1.8
-5398,91.66666667,1.811767093
-5397,92.84166667,2.5
-5396,91.76666667,1.923538406
-5395,87.94166667,1.8
-5394,90.14166667,2.4
-5393,85.64166667,2.4
-5392,90.64166667,2.4
-5391,88.14166667,2.4
-5390,90.04166667,1.8
-5389,88.44166667,2.4
-5388,90.44166667,1.8
-5387,86.14166667,2.4
-5386,91.64166667,1.8
-5385,87.74166667,2.4
-5384,88.94166667,2.4
-5383,84.44166667,2.4
-5382,87.34166667,2.4
-5381,85.54166667,2.3
