year,d14c,sig_d14c
7147,82.91,2.95
7147,75.91,2.94
7147,83.95,2.88
7147,84.19,2.90
7147,78.59,2.87
7147,78.65,2.91
7147,81.98,2.88
7147,83.67,2.87
7147,80.90,2.89
7147,83.60,2.87
7147,83.31,2.86
7147,80.85,2.89
7147,83.41,2.88
7147,86.97,2.85
7147,83.46,2.91
7147,85.90,2.88
7147,89.94,2.88
7147,87.60,2.87
7147,85.23,2.88
7147,89.94,2.91
7147,91.98,2.07
7147,94.13,2.08
7147,90.74,2.92
7147,99.90,1.94
7147,99.61,2.44
7147,93.78,1.97
7147,97.05,2.67
7147,99.60,1.97
7147,101.84,1.98
7147,81.93,2.63
7147,81.08,2.63
7147,82.12,2.58
7147,78.78,2.64
7147,79.52,2.66
7147,82.33,2.63
7147,89.65,2.65
7147,83.59,2.61
7147,83.48,2.82
7147,82.11,2.62
7147,87.04,2.66
7147,83.83,2.62
7147,84.42,2.62
7147,84.72,2.68
7147,81.08,2.64
7147,79.67,2.62
7147,85.09,2.66
7147,88.02,2.70
