year,d14c,sig_d14c
7150,84.33,2.47
7151,87.41,2.53
7152,84.95,2.53
7153,84.50,2.52
7154,85.48,2.52
7155,85.47,2.47
7156,88.63,2.49
7157,80.79,2.46
7158,81.26,2.47
7159,86.11,2.48
7160,82.97,2.49
7161,83.62,2.50
7162,81.75,2.48
7163,87.48,2.54
7164,87.74,2.54
7165,89.46,2.47
7166,90.71,2.52
7168,90.29,2.50
7169,87.70,2.49
7170,93.44,1.90
7171,93.31,1.51
7172,92.45,1.52
7173,97.34,1.54
7174,100.47,1.52
7175,96.55,1.77
7176,95.95,2.50
7177,85.01,1.52
7178,83.74,2.46
7179,80.54,2.44
7180,83.42,2.47
7181,78.59,2.59
7183,85.83,2.54
7184,85.82,2.49
7185,84.42,1.92
7186,81.02,2.47
7187,86.67,2.54
7188,80.70,2.47
7189,83.10,2.52
7194,82.83,2.54
7195,84.96,2.46
7196,85.60,2.53
7197,86.71,2.50
7198,84.92,2.56
7199,86.74,2.49
7200,82.70,2.64
