year,sig_d14c,d14c
200,1,21.59284486
201,1,19.66758068
202,1,18.15865509
203,1,16.22632308
204,1,12.48935796
205,1,7.172849125
206,1,8.322995197
207,1,8.407659848
208,1,11.24671353
209,1,15.28132108
210,1,18.1515906
211,1,21.21632343
212,1,20.33045926
213,1,17.60048995
214,1,14.58256626
215,1,10.92546062
216,1,9.438651846
217,1,6.811403494
218,1,8.393510291
219,1,9.921725445
220,1,11.67089661
221,1,17.96024305
222,1,19.88637548
223,1,18.05976971
224,1,18.96306128
225,1,11.88820902
226,1,9.836605916
227,1,6.956104906
228,1,7.751016887
229,1,8.756750144
230,1,10.14449693
