year,sig_d14c,d14c
200,1,1.319940333
201,1,-0.04406532
202,1,0.534608159
203,1,1.79763111
204,1,1.427800824
205,1,-1.405533232
206,1,0.55491331
207,1,-0.46174251
208,1,-0.219076338
209,1,0.694668465
210,1,1.164989831
211,1,3.691555304
212,1,4.795437715
213,1,6.528901502
214,1,9.642748417
215,1,12.44345125
216,1,16.26546162
217,1,16.65154212
218,1,18.48809274
219,1,17.85407093
220,1,16.02767682
221,1,18.64454315
222,1,18.00588133
223,1,15.45188644
224,1,17.5249336
225,1,12.92771426
226,1,13.64321574
227,1,12.71659727
228,1,13.82645331
229,1,13.22551773
230,1,11.43483982
