year,sig_d14c,d14c
200,2.5,-0.444119084
201,2.5,-0.44428419
202,2.5,-0.444446061
203,2.5,-0.444602836
204,2.5,-0.44475166
205,2.5,-0.444888196
206,2.5,-0.445005929
207,2.5,-0.445095184
208,2.5,-0.445141754
209,2.5,-0.445125011
210,2.5,-0.445015352
211,2.5,-0.444770775
212,2.5,-0.444332381
213,2.5,-0.443618548
214,2.5,-0.442517497
215,2.5,-0.440877994
216,2.5,-0.438497901
217,2.5,-0.435110373
218,2.5,-0.430367555
219,2.5,-0.423821766
220,2.5,-0.414904341
221,2.5,-0.402902538
222,2.5,-0.386935219
223,2.5,-0.365928347
224,2.5,-0.338591756
225,2.5,-0.303399005
226,2.5,-0.258572545
227,2.5,-0.202076722
228,2.5,-0.131621345
229,2.5,-0.044678589
230,2.5,0.061484152
231,2.5,0.189753313
232,2.5,0.343098615
233,2.5,0.524482503
234,2.5,0.736750361
235,2.5,0.98250381
236,2.5,1.263961003
237,2.5,1.582809466
238,2.5,1.94005851
239,2.5,2.33589948
240,2.5,2.769582835
241,2.5,3.239321289
242,2.5,3.742227753
243,2.5,4.274295585
244,2.5,4.830426815
245,2.5,5.404511398
246,2.5,5.989557607
247,2.5,6.57787038
248,2.5,7.161271163
249,2.5,7.731349775
250,2.5,8.279736361
251,2.5,8.798379746
252,2.5,9.279817726
253,2.5,9.717425063
254,2.5,10.10562619
255,2.5,10.44006178
256,2.5,10.71770138
257,2.5,10.93689752
258,2.5,11.09738063
259,2.5,11.20019749
260,2.5,11.2475993
261,2.5,11.24288801
262,2.5,11.19023154
263,2.5,11.09445953
264,2.5,10.96085129
265,2.5,10.79492724
266,2.5,10.60225361
267,2.5,10.3882683
268,2.5,10.1581338
269,2.5,9.916620674
270,2.5,9.668022909
271,2.5,9.416104488
272,2.5,9.164074851
273,2.5,8.914589689
274,2.5,8.669772678
275,2.5,8.431253407
276,2.5,8.200216694
277,2.5,7.977458812
278,2.5,7.763446628
279,2.5,7.558376352
280,2.5,7.362229293
281,2.5,7.174822777
282,2.5,6.99585504
283,2.5,6.824943529
284,2.5,6.661656519
285,2.5,6.505538319
286,2.5,6.356128642
287,2.5,6.212976817
288,2.5,6.075651654
289,2.5,5.943747737
290,2.5,5.816888915
291,2.5,5.694729651
292,2.5,5.576954831
293,2.5,5.463278509
294,2.5,5.353441991
295,2.5,5.247211544
296,2.5,5.144375965
297,2.5,5.044744165
298,2.5,4.948142858
