year,sig_d14c,d14c
200,2.5,3.966011781
201,2.5,0.556108831
202,2.5,2.002398899
203,2.5,5.157630162
204,2.5,4.224143315
205,2.5,-2.888082896
206,2.5,1.930215115
207,2.5,-0.823488205
208,2.5,-0.703188883
209,2.5,0.581371244
210,2.5,-0.084906424
211,2.5,3.190912992
212,2.5,1.458261932
213,2.5,-0.139431007
214,2.5,0.667140585
215,2.5,0.393307824
216,2.5,3.296699782
217,2.5,-0.948006032
218,2.5,0.352301699
219,2.5,-2.559061114
220,2.5,-6.797378881
221,2.5,1.231143951
222,2.5,1.774155278
223,2.5,-2.221340898
224,2.5,5.335794804
225,2.5,-3.939313191
226,2.5,-0.144176252
227,2.5,-0.670036347
228,2.5,3.700326691
229,2.5,3.628718336
230,2.5,0.448852716
231,2.5,1.135159612
232,2.5,-1.876365754
233,2.5,-4.427508668
234,2.5,-0.133030012
235,2.5,1.373376233
236,2.5,4.339687705
237,2.5,4.588759088
238,2.5,0.971741466
239,2.5,1.580142604
240,2.5,0.148200422
241,2.5,-0.310723554
242,2.5,-0.523447724
243,2.5,9.151234073
244,2.5,3.556296361
245,2.5,4.309325644
246,2.5,2.857569207
247,2.5,8.52159627
248,2.5,3.126526544
249,2.5,7.199499074
250,2.5,6.041069958
251,2.5,9.765635991
252,2.5,8.002804882
253,2.5,6.765844603
254,2.5,10.03517062
255,2.5,11.51089146
256,2.5,10.88399444
257,2.5,11.69307726
258,2.5,9.511575396
259,2.5,10.29334458
260,2.5,9.566448181
261,2.5,10.34400511
262,2.5,9.157365835
263,2.5,6.778753024
264,2.5,11.40441665
265,2.5,9.790474899
266,2.5,6.526757743
267,2.5,11.54522394
268,2.5,7.889887889
269,2.5,10.04648416
270,2.5,11.49074931
271,2.5,9.738561765
272,2.5,12.01257656
273,2.5,5.827525138
274,2.5,9.675626781
275,2.5,6.71922818
276,2.5,6.023223821
277,2.5,6.53033465
278,2.5,6.984565298
279,2.5,7.698789708
280,2.5,4.449354691
281,2.5,9.426888994
282,2.5,8.160011139
283,2.5,2.984334313
284,2.5,10.382287
285,2.5,11.24526126
286,2.5,9.30307757
287,2.5,5.763164727
288,2.5,3.3987701
289,2.5,8.579877054
290,2.5,4.808946548
291,2.5,8.750842327
292,2.5,6.097642276
293,2.5,7.9048761
294,2.5,6.244357984
295,2.5,7.013644464
296,2.5,5.170626017
297,2.5,9.5094204
298,2.5,5.26542309
