year,sig_d14c,d14c
200,2.5,19.60662889
201,2.5,19.23196305
202,2.5,18.44392644
203,2.5,17.37582324
204,2.5,16.27857414
205,2.5,15.42768065
206,2.5,15.02907009
207,2.5,15.15028156
208,2.5,15.69722611
209,2.5,16.44310347
210,2.5,17.09989038
211,2.5,17.40949435
212,2.5,17.22552296
213,2.5,16.55965059
214,2.5,15.57783147
215,2.5,14.5475464
216,2.5,13.75282431
217,2.5,13.40401536
218,2.5,13.57096061
219,2.5,14.1607758
220,2.5,14.94730246
221,2.5,15.64287544
222,2.5,15.98962053
223,2.5,15.84129517
224,2.5,15.20968795
225,2.5,14.26084485
226,2.5,13.26232047
227,2.5,12.49820173
228,2.5,12.17888404
229,2.5,12.37424568
230,2.5,12.99143754
231,2.5,13.80433979
232,2.5,14.52533302
233,2.5,14.89659646
234,2.5,14.77194612
235,2.5,14.16322925
236,2.5,13.23654492
237,2.5,12.2594905
238,2.5,11.51618334
239,2.5,11.21703807
240,2.5,11.43194511
241,2.5,12.06806619
242,2.5,12.89929662
243,2.5,13.63804019
244,2.5,14.02650806
245,2.5,13.91855438
246,2.5,13.3260658
247,2.5,12.41517633
248,2.5,11.4535091
249,2.5,10.72519594
250,2.5,10.4406558
251,2.5,10.66977732
252,2.5,11.31972005
253,2.5,12.1643823
254,2.5,12.91617967
255,2.5,13.31734467
256,2.5,13.22175963
257,2.5,12.64134133
258,2.5,11.74224998
259,2.5,10.79212632
260,2.5,10.075109
261,2.5,9.801614098
262,2.5,10.04152171
263,2.5,10.70198283
264,2.5,11.55689275
265,2.5,12.31867331
266,2.5,12.72957298
267,2.5,12.64349728
268,2.5,12.07238836
269,2.5,11.18242816
270,2.5,10.24127077
271,2.5,9.533057659
272,2.5,9.268198216
273,2.5,9.516560396
274,2.5,10.18528323
275,2.5,11.0482558
276,2.5,11.81790304
277,2.5,12.23648651
278,2.5,12.15793217
279,2.5,11.59420488
280,2.5,10.71150581
281,2.5,9.777500059
282,2.5,9.076329623
283,2.5,8.818395076
284,2.5,9.073550181
285,2.5,9.748920071
286,2.5,10.61838574
287,2.5,11.39437347
288,2.5,11.81915625
289,2.5,11.74667884
290,2.5,11.18892731
291,2.5,10.31212062
292,2.5,9.383933456
293,2.5,8.68850704
294,2.5,8.43623185
295,2.5,8.696946257
296,2.5,9.377760347
297,2.5,10.25254592
298,2.5,11.0337296
