year,sig_d14c,d14c
200,2.5,23.6674923
201,2.5,17.70257202
202,2.5,17.12349706
203,2.5,14.69340168
204,2.5,18.44209321
205,2.5,9.673833908
206,2.5,19.3910995
207,2.5,13.24726431
208,2.5,16.49482385
209,2.5,15.81967753
210,2.5,20.75516022
211,2.5,12.25914258
212,2.5,16.41947995
213,2.5,15.5995147
214,2.5,18.41225508
215,2.5,11.79781823
216,2.5,13.32175379
217,2.5,11.20936932
218,2.5,13.67649498
219,2.5,15.61781383
220,2.5,12.19575452
221,2.5,18.50468471
222,2.5,18.24359733
223,2.5,17.09753102
224,2.5,17.46182782
225,2.5,12.5515252
226,2.5,12.95509491
227,2.5,10.15877814
228,2.5,11.50916384
229,2.5,13.70013435
230,2.5,11.26228566
231,2.5,12.81245597
232,2.5,12.80740127
233,2.5,12.78358236
234,2.5,13.09383079
235,2.5,14.13156775
236,2.5,10.44326905
237,2.5,12.84552974
238,2.5,15.66568878
239,2.5,13.07214847
240,2.5,10.95235623
241,2.5,9.84899378
242,2.5,11.03140089
243,2.5,17.86917669
244,2.5,14.15352745
245,2.5,12.32606526
246,2.5,13.80335451
247,2.5,17.66581417
248,2.5,11.75390648
249,2.5,12.26820371
250,2.5,11.1910816
251,2.5,9.789152704
252,2.5,8.463424555
253,2.5,11.29102549
254,2.5,12.39394409
255,2.5,14.78390265
256,2.5,15.31921816
257,2.5,14.96909653
258,2.5,12.45621829
259,2.5,13.00497923
260,2.5,8.189114148
261,2.5,12.93378449
262,2.5,11.32384626
263,2.5,9.956750742
264,2.5,12.77818812
265,2.5,12.12974403
266,2.5,15.55864645
267,2.5,16.44303932
268,2.5,17.53632688
269,2.5,7.691187321
270,2.5,6.630986256
271,2.5,8.271893002
272,2.5,9.66829089
273,2.5,11.7069827
274,2.5,10.9743706
275,2.5,5.99275276
276,2.5,11.05239301
277,2.5,14.30642312
278,2.5,12.73316901
279,2.5,13.49923283
280,2.5,10.15568545
281,2.5,9.275604887
282,2.5,9.5427331
283,2.5,9.843524194
284,2.5,9.569299481
285,2.5,10.04644169
286,2.5,8.941730024
287,2.5,12.33828294
288,2.5,12.12370943
289,2.5,14.57038861
290,2.5,14.18622201
291,2.5,10.77501166
292,2.5,8.445721081
293,2.5,7.091681021
294,2.5,9.494967735
295,2.5,8.890296428
296,2.5,8.518126158
297,2.5,10.36153806
298,2.5,9.48372749
