year,sig_d14c,d14c
200,1,2.043961668
201,1,0.624944484
202,1,1.038472377
203,1,2.082808296
204,1,1.507449961
205,1,-1.463635496
206,1,0.446543374
207,1,-0.566451622
208,1,-0.362933563
209,1,0.311715157
210,1,3.861176369
211,1,14.15983599
212,1,17.69547948
213,1,17.13889639
214,1,16.50189051
215,1,15.09707626
216,1,14.97834819
217,1,12.17362511
218,1,11.80156234
219,1,9.928280782
220,1,7.637574395
221,1,10.28804767
222,1,9.916503367
223,1,7.673237944
224,1,10.00532051
225,1,5.601429611
226,1,6.480281266
227,1,5.736940134
228,1,7.084860201
229,1,6.779837976
