year,sig_d14c,d14c
200,1,0.449628433
201,1,0.548590593
202,1,-0.933107923
203,1,-2.262122185
204,1,-0.812905853
205,1,-0.387429798
206,1,0.729334943
207,1,0.841971882
208,1,-0.566046612
209,1,0.136391603
210,1,7.369150398
211,1,15.60265352
212,1,16.60579945
213,1,19.55785202
214,1,15.67414531
215,1,14.20070609
216,1,11.99460842
217,1,12.88616568
218,1,9.603337876
219,1,10.29530329
220,1,8.996450238
221,1,9.673047553
222,1,8.127057611
223,1,6.755603933
224,1,7.182968043
225,1,6.947773221
226,1,5.989754962
227,1,5.769758036
228,1,4.528062376
229,1,4.617342467
