year,d14c,sig_d14c
5260,92.07,2.63
5228,92.38,2.62
5221,98.83,2.86
5218,93.67,2.62
5214,85.06,2.62
5196,103.58,2.61
5177,99.15,2.60
5176,100.92,2.60
5175,93.97,2.39
5178,97.63,2.44
5179,98.92,2.30
5180,103.46,2.08
5183,102.25,2.13
5188,105.43,2.13
5190,105.08,2.40
5195,98.01,2.30
5197,102.24,2.47
5202,91.13,2.28
5204,96.84,2.28
5205,93.59,2.09
5206,96.84,2.49
5208,93.54,2.38
5212,90.95,2.12
5213,91.87,2.40
5215,89.16,2.12
5220,90.87,2.28
5222,96.20,2.40
5232,91.19,2.29
5233,94.63,2.38
5234,93.29,2.29
5251,101.13,2.48
5280,103.29,1.77
5300,100.12,1.65
5299,96.74,2.10
5298,97.47,1.56
5297,102.81,1.68
5296,101.21,1.61
5295,98.56,1.22
5294,99.39,1.59
5293,101.51,1.69
5292,102.77,1.49
5291,105.96,1.50
5290,102.06,2.07
5289,101.57,1.27
5288,100.92,1.53
5287,104.02,1.55
5286,102.77,2.49
5285,100.53,1.64
5284,102.27,1.73
5283,100.75,1.76
5282,101.54,2.49
5281,104.55,1.64
5279,102.00,1.81
5278,101.40,1.67
5277,97.90,1.71
5276,98.36,2.44
5275,99.54,1.76
5274,99.32,1.71
5273,96.05,2.43
5272,99.34,1.35
5271,97.76,1.62
5270,95.07,1.44
5269,95.06,1.39
5268,96.55,1.74
5267,93.24,2.42
5266,95.16,1.61
5265,94.26,1.70
5264,94.69,1.79
5263,92.12,1.69
5262,91.83,1.61
5261,92.17,1.67
5259,109.78,1.73
5258,115.36,1.66
5257,109.45,1.64
5256,108.67,1.53
5255,106.26,2.20
5254,108.56,1.54
5253,105.33,1.60
5252,103.47,2.21
5250,98.00,1.63
5249,102.27,1.65
5248,98.70,2.19
5247,97.46,1.71
5246,97.63,1.67
5245,96.05,1.53
5244,97.13,1.71
5243,97.27,1.59
5242,97.96,1.62
5241,95.23,1.52
5240,96.19,1.63
5239,91.76,2.43
5238,92.67,1.69
5237,93.70,1.51
5235,92.14,1.61
5231,91.30,1.49
5230,90.91,1.60
5227,88.54,1.60
5226,93.27,1.57
5225,91.95,1.62
5224,90.77,1.55
5223,91.28,1.48
5217,91.45,1.64
5216,88.14,1.61
5210,93.80,1.68
5207,93.21,1.74
5201,98.00,1.57
5200,97.14,1.74
5199,101.79,1.74
5198,99.93,1.69
5194,102.86,1.61
5193,103.71,1.74
5192,104.98,1.67
5191,107.37,1.66
5189,105.50,1.69
5187,107.09,2.30
5186,107.46,1.75
5185,105.74,1.66
5184,104.56,1.70
5182,102.98,1.62
5181,101.48,1.61
