year,d14c,sig_d14c
-7196,88.02,2.7
-7195,85.09,2.66
-7194,79.67,2.62
-7193,81.08,2.64
-7192,84.72,2.68
-7191,84.42,2.62
-7190,83.83,2.62
-7189,87.04,2.66
-7188,82.11,2.62
-7187,83.48,2.82
-7185,83.59,2.61
-7183,89.65,2.65
-7182,82.33,2.63
-7181,79.52,2.66
-7180,78.78,2.64
-7179,82.12,2.58
-7178,81.08,2.63
-7177,81.93,2.63
-7176,101.84,1.98
-7175,99.6,1.97
-7174,97.05,2.67
-7173,93.78,1.97
-7172,99.61,2.44
-7171,99.9,1.94
-7170,90.74,2.92
-7169,94.13,2.08
-7167,91.98,2.07
-7166,89.94,2.91
-7165,85.23,2.88
-7164,87.6,2.87
-7163,89.94,2.88
-7162,85.9,2.88
-7161,83.46,2.91
-7160,86.97,2.85
-7159,83.41,2.88
-7158,80.85,2.89
-7157,83.31,2.86
-7156,83.6,2.87
-7155,80.9,2.89
-7154,83.67,2.87
-7153,81.98,2.88
-7152,78.65,2.91
-7151,78.59,2.87
-7150,84.19,2.9
-7149,83.95,2.88
-7148,75.91,2.94
-7147,82.91,2.95
