year,d14c,sig_d14c
-7196,83.45,1.69
-7195,81.26,2.29
-7194,82.77,1.69
-7193,80.28,2.29
-7192,79.37,1.71
-7191,81.42,1.65
-7190,82.16,1.69
-7189,83.98,2.29
-7188,81.75,1.39
-7187,79.88,1.68
-7186,80.27,1.41
-7185,84.18,1.68
-7184,79.59,1.4
-7183,81.68,1.69
-7182,80.79,1.4
-7181,80.83,1.69
-7180,80.1,1.39
-7179,80.11,1.67
-7178,81.63,0.86
-7177,82.56,0.75
-7176,96.44,0.99
-7175,101.93,1
-7174,99.63,1.21
-7173,97.4,1.41
-7172,95.51,1.22
-7171,92.77,1.39
-7170,91.81,1.23
-7169,91.8,1.4
-7168,92.54,1.24
-7167,89.96,1.72
-7166,87.69,1.22
-7165,86.95,1.71
-7164,86.6,1.42
-7163,88.32,1.72
-7162,85.05,1.42
-7161,85.34,1.71
-7160,88.57,1.42
-7159,83.48,2.4
-7158,84.11,2.39
-7157,85.66,2.39
-7156,84.96,2.46
-7155,88.21,2.4
-7154,87.11,2.4
-7153,86.6,2.4
-7152,86.18,2.39
-7150,84.99,2.39
-7148,88.55,1.94
-7147,83.17,1.92
