year,d14c,sig_d14c
7176,96.44,0.99
7177,82.56,0.75
7178,81.63,0.86
7179,80.11,1.67
7180,80.10,1.39
7181,80.83,1.69
7182,80.79,1.40
7183,81.68,1.69
7184,79.59,1.40
7185,84.18,1.68
7186,80.27,1.41
7187,79.88,1.68
7188,81.75,1.39
7189,83.98,2.29
7190,82.16,1.69
7191,81.42,1.65
7192,79.37,1.71
7193,80.28,2.29
7194,82.77,1.69
7195,81.26,2.29
7196,83.45,1.69
7197,86.07,2.29
7198,87.33,1.69
7199,87.45,2.27
7200,83.01,1.81
7201,84.51,1.79
7202,83.92,1.80
7203,84.22,1.81
7204,82.11,1.80
7205,83.08,1.80
7206,84.75,1.79
7207,84.46,1.79
7208,86.33,1.77
7209,84.28,1.77
7210,85.71,1.76
7211,87.08,1.78
7212,86.29,1.80
7213,88.45,1.83
7214,89.10,1.80
7215,88.72,1.80
7216,91.15,1.81
7217,88.41,1.82
7218,90.99,1.80
7219,92.46,1.81
7220,94.33,1.78
7091,79.92,2.67
7092,80.76,2.58
7093,76.68,2.61
7094,80.87,2.60
7095,78.19,2.58
7096,81.32,2.60
7097,80.58,2.60
7098,80.96,2.58
7099,81.54,2.57
7100,81.56,2.59
7101,83.45,2.58
7103,84.34,2.62
7104,84.33,2.48
7105,90.65,2.62
7106,80.76,2.62
7123,86.08,1.93
7124,87.29,1.92
7125,86.92,1.92
7126,84.37,1.92
7127,86.18,1.94
7128,84.77,1.92
7129,84.87,1.92
7130,86.79,1.92
7131,88.99,1.93
7132,86.76,1.92
7133,87.34,1.93
7134,86.38,1.93
7135,86.25,1.92
7136,87.02,1.92
7137,86.27,1.93
7138,84.21,1.93
7139,86.86,1.93
7141,84.76,1.92
7142,85.65,1.93
7143,83.27,1.93
7144,86.81,1.93
7145,86.56,1.92
7146,83.86,1.92
7147,83.17,1.92
7148,88.55,1.94
7150,84.99,2.39
7152,86.18,2.39
7153,86.60,2.40
7154,87.11,2.40
7155,88.21,2.40
7156,84.96,2.46
7157,85.66,2.39
7158,84.11,2.39
7159,83.48,2.40
7160,88.57,1.42
7161,85.34,1.71
7162,85.05,1.42
7163,88.32,1.72
7164,86.60,1.42
7165,86.95,1.71
7166,87.69,1.22
7167,89.96,1.72
7168,92.54,1.24
7169,91.80,1.40
7170,91.81,1.23
7171,92.77,1.39
7172,95.51,1.22
7173,97.40,1.41
7174,99.63,1.21
7175,101.93,1.00
