year,d14c,sig_d14c
750,-16.4,1.8
752,-17.4,1.8
756,-20.1,2.6
758,-15.9,2.6
760,-16,2.6
762,-17.1,2.5
764,-18.8,2.6
766,-19.8,2.6
768,-13.5,2.6
770,-18,1.3
772,-17,1.3
774,-18.3,1.7
775,-6,2.4
776,-3.5,1.8
777,-2.4,2.4
778,-3.4,1.8
779,-5.3,2.4
780,-6,1.8
782,-5.3,2.6
784,-7.9,2.6
786,-6.9,2.6
788,-10.9,2.6
790,-13.3,1.9
792,-13.8,2
794,-12.5,2.7
796,-10.5,2.6
798,-13.3,3.2
800,-12.3,2.6
802,-12.7,2.6
804,-8.9,2.7
806,-15.2,2.7
808,-14.2,2.7
810,-13.7,2.7
812,-15.9,2.6
814,-12.3,2.7
816,-12.2,2.6
818,-15,2.6
820,-17.4,2.6
