year,d14c,sig_d14c
1725,12.2,2.3
1724,9.0,2.1
1724,14.0,2.3
1723,12.0,2.3
1722,11.2,2.1
1721,12.7,2.3
1720,14.5,2.3
1719,14.9,2.3
1718,17.1,2.2
1718,14.5,2.1
1717,17.0,2.3
1716,15.4,2.3
1715,14.7,2.3
1714,18.3,2.3
1713,17.9,2.3
1712,12.9,2.3
1711,17.9,2.3
1711,18.9,2.3
1710,14.6,2.3
1709,14.1,2.5
1708,14.2,2.1
1707,10.9,2.3
1707,14.1,2.3
1706,13.9,2.5
1705,16.2,2.5
1704,15.1,2.0
1703,16.7,1.8
1703,18.9,2.2
1702,9.5,2.9
1702,11.5,2.3
1702,14.8,2.3
1701,18.5,2.7
1700,18.2,2.9
1700,20.0,2.3
1699,20.5,2.5
1698,16.2,2.7
1697,19.0,2.5
1696,15.3,2.3
1695,18.1,2.3
1694,16.7,2.5
1693,15.6,2.5
1692,15.6,2.3
1691,14.0,1.8
1690,13.9,1.8
1748,4.5,2.3
1747,6.9,2.3
1746,6.9,2.3
1746,7.9,2.3
1745,6.3,2.3
1745,2.4,2.6
1744,2.8,2.2
1743,4.1,1.8
1743,7.0,2.8
1742,5.5,2.3
1741,0.9,2.1
1741,1.4,2.6
1740,5.6,2.3
1739,5.5,2.1
1739,7.6,2.6
1738,7.2,2.3
1737,7.2,2.6
1736,7.4,2.6
1735,7.4,2.5
1734,9.0,2.9
1733,8.9,2.5
1732,7.1,2.0
1731,5.6,1.8
1730,10.6,2.5
1729,12.7,2.3
1728,11.6,2.5
1727,14.3,2.5
1726,17.9,2.0
1725,13.7,1.8
1724,16.1,2.3
1723,15.0,2.3
1722,14.2,2.1
1721,14.5,2.3
1720,15.0,2.1
1720,15.0,2.1
1719,13.5,2.1
1719,20.9,2.3
1718,18.0,2.2
1718,18.4,2.2
1717,15.5,2.1
1717,15.0,2.1
1716,20.3,2.7
1715,18.6,2.3
1714,17.5,2.3
1713,17.4,2.3
1712,14.8,2.3
1711,17.1,2.2
1711,20.3,2.3
1710,17.4,2.2
1710,20.5,2.3
1709,19.8,2.5
1708,16.8,2.3
1707,16.1,2.2
1707,18.7,2.2
1706,14.7,2.3
1705,16.7,2.2
1704,19.9,2.2
1704,23.7,2.3
1703,18.2,2.3
1702,17.7,2.2
1702,19.5,2.2
1701,16.2,2.2
1701,22.8,2.3
1700,16.1,2.5
1700,16.6,2.5
1699,19.1,2.3
1698,21.1,2.3
1697,17.6,2.3
1696,19.7,2.2
1695,19.1,2.3
1694,17.8,2.3
1693,16.4,2.3
1692,18.2,2.3
1691,15.6,2.3
1690,15.5,2.3
1689,14.4,2.7
1688,15.1,2.3
1687,14.7,2.3
1686,17.5,2.2
1686,17.4,2.7
1700,16.7,2.5
1699,14.3,2.5
1698,14.2,2.5
1697,18.2,2.5
1696,14.0,2.3
1695,14.5,1.6
1695,12.5,2.3
1694,13.5,2.0
1694,18.3,2.5
1693,15.0,2.3
1692,15.0,2.3
1691,15.0,2.7
1690,11.9,2.6
1689,16.9,2.5
1688,18.2,2.3
1687,12.6,2.6
1687,15.0,2.9
1686,18.0,2.3
1686,17.4,3.2
1685,13.5,3.2
1684,13.2,2.3
1683,11.6,2.3
1682,12.2,2.5
1681,11.9,2.3
1680,13.0,2.1
1678,8.4,2.3
1677,11.6,2.1
1677,8.2,2.3
1676,9.7,2.3
1676,13.1,2.3
1675,11.9,2.3
1674,5.8,2.6
1674,12.4,2.5
1673,16.7,2.3
1673,13.9,2.3
1672,10.9,2.3
1671,13.2,2.3
1671,17.6,2.7
1670,9.8,2.3
1669,11.3,2.5
1668,11.9,2.6
1667,10.1,2.5
1666,8.4,2.3
1665,6.7,1.8
1664,7.5,2.3
1664,5.2,1.8
1663,8.7,2.5
1662,7.5,2.5
1661,9.0,2.5
1660,4.1,2.2
1660,3.7,2.5
1659,6.2,2.6
1658,9.3,2.5
1657,4.5,2.0
1656,4.6,2.1
1655,6.3,2.1
1654,5.1,2.3
1654,9.7,2.5
1653,4.1,2.5
1651,4.9,2.5
1650,5.4,2.3
1650,6.1,2.5
1649,2.1,2.2
1649,6.3,2.5
1648,3.3,2.2
1647,3.9,2.6
1646,2.7,2.2
1645,2.2,2.2
1644,1.0,1.6
1644,4.0,2.1
1643,3.8,2.5
1642,1.5,2.2
1641,2.2,2.7
1640,-1.2,2.1
1640,-4.6,2.7
1639,-1.1,1.6
1639,4.4,2.5
1638,-2.6,2.2
1637,0.6,2.7
1636,-0.4,2.1
1636,4.0,2.5
1635,-1.4,2.1
1635,4.8,2.5
1634,-3.3,2.5
1633,-0.2,2.5
1632,-3.6,2.5
1631,-3.4,2.5
1630,-4.0,2.5
1629,-4.6,2.1
1629,4.0,2.5
1628,-4.6,2.5
1627,-0.4,2.5
1626,-6.3,2.5
1625,-0.5,2.5
1625,-0.9,1.7
1624,-4.0,1.7
1623,2.0,2.6
1622,-2.9,2.5
1622,-2.3,2.2
1621,-2.3,2.2
1620,2.0,2.2
